event_id	kind	normal	deobf	disposition	fallback_evidence	reason
H001:a0.j1.k(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	APP_REACHABILITY_SMALI	corresponding apktool smali class	app-owned but no direct protocol boundary in failed region; authoritative reachable protocol callsites are separately cited
H002:a1.j.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	PROTOCOL_AUTHORITATIVE_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/a1/j.smali:2173-7803	notification classifier and timer-event routing
H003:a9.a.G(q2.i0, xf.a):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H004:ac.f.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H005:ae.h0.h(int, l1.e, l1.e, x1.o, boolean):void	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H006:androidx.coordinatorlayout.widget.CoordinatorLayout.s():void	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H007:androidx.datastore.preferences.protobuf.o0.g(java.lang.Object, androidx.datastore.preferences.protobuf.k, androidx.datastore.preferences.protobuf.o):void	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H008:androidx.lifecycle.i0.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H009:b1.v6.b(u2.c1, java.util.List, long):u2.b1	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H010:b1.z0.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H011:c1.c.a(ug.k, vf.c):java.lang.Object	HARD_ERROR	yes	yes	PROTOCOL_ADJACENT_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/c1/c.smali	flow wrapper; parsing is authoritative in c1.b
H012:c9.g.b(x1.p, e0.b0, a0.p1, x.f, boolean, u.h, float, e0.h, p2.a, x1.g, x.k, r1.e, j1.r, int, int):void	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H013:cd.l0.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	PROTOCOL_AUTHORITATIVE_SMALI	work/smali/com.linak.linakbed.ble.memory/smali/cd/l0.smali:420-1449	memory-recall refresh loop
H014:com.google.android.gms.internal.measurement.e6.t(java.lang.Object, byte[], int, int, int, com.google.android.gms.internal.measurement.x4):int	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H015:com.google.android.gms.internal.measurement.k4.c(q2.i0, xf.a):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H016:da.p.a(da.n, float[], float, android.graphics.RectF, da.g, android.graphics.Path):void	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H017:e0.e.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H018:e0.s.a(d0.e0, long):u2.b1	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H019:f0.c.a(d2.c, xf.c):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H020:fe.f.w(fe.f, java.lang.String):java.util.ArrayList	HARD_ERROR	yes	yes	APP_UNRELATED_PROVEN	work/smali/com.linak.linakbed.ble.memory/smali/fe/f.smali:906-2702	graphics path/SVG string parser; no BLE call
H021:h1.e0.r(java.lang.Object):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
H022:h1.m0.a(ug.k, vf.c):java.lang.Object	HARD_ERROR	yes	yes	NON_PROTOCOL_FRAMEWORK	corresponding apktool smali class	UI/Compose, AndroidX, coroutine, measurement, protobuf, graphics, collection, or other third-party/framework logic; no Bluetooth UUID/builder/platform-write call in failed region
